survey,target,country,condition,arm,disambiguator,embedding_model,k_spec,k,captured_importance,oracle_acc,model_acc,random_acc,majority,value_over_random,cost_of_imperfect,error
arabbarometer,Q534_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,model,6,0.0,0.5083,0.5542,0.4345,0.3867,0.1197,-0.0459,
arabbarometer,Q534_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k5,4,0.0,0.4575,0.4892,0.4104,0.3867,0.0788,-0.0317,
arabbarometer,Q534_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k10,6,0.0,0.5083,0.5542,0.4345,0.3867,0.1197,-0.0459,
arabbarometer,Q534_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,model,12,0.2049,0.5408,0.6167,0.4556,0.3867,0.1611,-0.0759,
arabbarometer,Q534_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.3788,0.4817,0.3925,0.4126,0.3867,-0.0201,0.0892,
arabbarometer,Q534_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.2358,0.5375,0.5392,0.4383,0.3867,0.1009,-0.0017,
arabbarometer,Q534_2,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,model,5,0.0,0.3105,0.6788,0.3165,0.3063,0.3623,-0.3683,
arabbarometer,Q534_2,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.3105,0.6788,0.3165,0.3063,0.3623,-0.3683,
arabbarometer,Q534_2,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,k10,5,0.0,0.3105,0.6788,0.3165,0.3063,0.3623,-0.3683,
arabbarometer,Q534_2,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,model,9,0.0893,0.3791,0.6068,0.3523,0.3063,0.2545,-0.2277,
arabbarometer,Q534_2,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0571,0.3105,0.6175,0.3165,0.3063,0.301,-0.307,
arabbarometer,Q534_2,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,k10,9,0.0893,0.3791,0.6068,0.3523,0.3063,0.2545,-0.2277,
arabbarometer,Q630,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,model,11,0.2391,0.4141,0.3942,0.3702,0.3793,0.024,0.0199,
