survey,target,country,condition,arm,disambiguator,embedding_model,k_spec,k,captured_importance,oracle_acc,model_acc,random_acc,majority,value_over_random,cost_of_imperfect,error
asianbarometer,SE13a,Australia,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.2458,0.3411,0.2463,0.2444,0.2414,0.0019,0.0948,
asianbarometer,SE14a,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,model,11,0.4984,0.4826,0.4605,0.3707,0.3728,0.0898,0.0221,
asianbarometer,SE14a,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.5328,0.4644,0.4597,0.3655,0.3728,0.0942,0.0047,
asianbarometer,SE14a,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.5047,0.4826,0.4534,0.3738,0.3728,0.0796,0.0292,
asianbarometer,SE14a,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,model,7,0.4842,0.5032,0.4661,0.3803,0.3728,0.0858,0.0371,
asianbarometer,SE14a,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.5656,0.4644,0.4676,0.3655,0.3728,0.1021,-0.0032,
asianbarometer,SE14a,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,k10,7,0.4842,0.5032,0.4661,0.3803,0.3728,0.0858,0.0371,
asianbarometer,SE13a,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,model,12,0.7235,0.3855,0.3815,0.2931,0.3618,0.0884,0.004,
asianbarometer,SE13a,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.1542,0.4107,0.3128,0.3415,0.3618,-0.0287,0.0979,
asianbarometer,SE13a,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.752,0.3878,0.376,0.3051,0.3618,0.0709,0.0118,
asianbarometer,SE13a,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,model,12,0.6667,0.3855,0.3926,0.2931,0.3618,0.0995,-0.0071,
asianbarometer,SE13a,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0841,0.4107,0.3286,0.3415,0.3618,-0.0129,0.0821,
asianbarometer,SE13a,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.6732,0.3878,0.3863,0.3051,0.3618,0.0812,0.0015,
asianbarometer,SE7a,Australia,unprompted,C,nemotron,all-mpnet-base-v2,model,8,0.8174,0.5703,0.6179,0.5,0.5226,0.1179,-0.0476,
asianbarometer,SE7a,Australia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.8807,0.5752,0.5736,0.5218,0.5226,0.0518,0.0016,
asianbarometer,SE7a,Australia,unprompted,C,nemotron,all-mpnet-base-v2,k10,8,0.8174,0.5703,0.6179,0.5,0.5226,0.1179,-0.0476,
asianbarometer,SE7a,Australia,country_provided,C,nemotron,all-mpnet-base-v2,model,10,0.8208,0.5727,0.6188,0.5064,0.5226,0.1124,-0.0461,
asianbarometer,SE7a,Australia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.1376,0.5752,0.4675,0.5218,0.5226,-0.0543,0.1077,
